ASF,FG,MN,ED,INV_LOG,ND,STD,Y
1,0,0,0.017736368,0.318053639,0,0,1
1,0,0,0,0.318041503,0,0,1
1,0,0.500746922,0.396451022,0.318432355,0,1,1
0,0,0,0,0.317879267,0,0,1
1,0,0,0,0.317915323,0,0,1
1,0,1,1,0.31847688,0,0.968058056,1
1,0,0.713058548,0.780078691,0.318335201,0,0.153419573,1
1,0,1,1,0.317798932,0,1,1
1,0,1,1,0.318240976,0,0.755070193,1
1,0,0,0,0.31812009,0,0,1
1,0,1,1,0.318431842,0,1,1
1,0,1,1,0.318194916,0,1,1
1,0,1,1,0.318407491,0,1,1
1,0,0,0,0.317988811,0,0,1
1,0,0.273958714,0.277973674,0.318361862,0,0.355557057,1
1,0,0,0,0.318009962,0,0,1
0,1,0,0,0.332883108,1,0,0
1,0,0,0,0.31938753,0,0,1
1,0,1,1,0.319914092,0,1,1
1,0,1,1,0.319731587,0,1,1
1,0,0,0,0.31958866,0,0,1
1,0,1,1,0.319640076,0,1,1
1,0,0,0,0.319439375,0,0,1
