ASF,FG,MN,ED,INV_LOG,ND,STD,SUM,SUM1,SUM5,SUM10,Diff1,avg5minusMe,avg10minusme,std5ofivlogdivMe,std10ofivlogdivMe,Y
1,0,0.62800386,0.335812013,0.265132199,0,0.186262327,2.415210399,3.955708642,18.62054929,226.931187,0.874712156,-0.710782346,-0.386022122,0.00118042,0.001112419,1
1,0,0,0,0.265785223,0,0.27471302,1.540498243,2.805467683,20.50444924,234.2650862,0.275528803,0.479183562,0.418016644,0.001214732,0.001096762,1
1,0,0,0,0.26496944,0,0,1.26496944,2.530279283,21.94651445,240.2451088,-0.000340403,0.816238603,0.966070627,0.000718671,0.001076003,1
1,0,0,0,0.265309843,0,0,1.265309843,3.301462184,23.08063324,240.0250986,-0.770842498,1.042785004,1.265820962,0.000613422,0.001180682,1
1,0,0.07370923,0.038346915,0.265452602,0,0.658643594,2.036152341,6.027631498,23.30990151,238.4556478,-1.955326816,0.27187946,0.394969317,0.000686292,0.00119418,1
1,0,1,1,0.265075154,0,0.726404003,3.991479157,5.839608593,21.25648235,240.379656,2.143349721,-1.637530656,-1.63116357,0.001133105,0.001194163,1
1,0,0,0,0.265225289,0,0.582904147,1.848129436,4.247532896,21.3911003,245.5620926,-0.551274024,0.049218534,0.512648065,0.00110496,0.001131023,1
1,0,0.46993924,0.497359068,0.265068477,0,0.167036675,2.39940346,3.664398071,25.67519426,250.2199587,1.134408849,-0.01853137,0.027376253,0.001346364,0.001144241,1
1,0,0,0,0.264994611,0,0,1.264994611,3.530730452,26.54189138,250.9282374,-1.00074123,1.489172151,1.048395529,0.00136743,0.001052372,1
1,0,0,0,0.265735841,0,1,2.265735841,3.974212342,24.60447094,251.0201334,0.55725934,0.288475673,0.226181398,0.001063606,0.000863644,1
1,0,0.271590179,0.171525001,0.265361321,0,0,1.708476501,5.974226538,25.95444852,254.3141613,-2.557273536,0.658206172,0.783444332,0.001038113,0.000881472,1
1,0,1,1,0.265750037,0,1,4.265750037,8.531626858,26.48447184,255.271961,-0.000126784,-1.441543006,-1.518334131,0.000983113,0.000874832,1
1,0,1,1,0.265876821,0,1,4.265876821,4.531095193,21.72650427,252.127652,4.000658449,-1.793189485,-1.759948903,0.001046397,0.000820493,1
0,0,0,0,0.265218372,0,0,0.265218372,1.593310006,21.51118241,252.3966066,-1.062873262,1.607395146,2.039851437,0.000588178,0.000948262,1
1,0,0,0,0.265433565,0,0.062658069,1.328091634,5.324189926,25.23390978,254.0784587,-2.668006658,1.101531329,1.181335539,0.000496423,0.051574904,1
